95.108.150.235 - - [27/Feb/2011:07:10:18 -0600] "GET /robots.txt HTTP/1.1" 404 298 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; MirrorDetector; +http://yandex.com/bots)"
67.222.198.66 - - [20/Feb/2011:08:54:02 -0600] "GET /~rbeasley/a5/images/myface.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~rbeasley/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13 SearchToolbar/1.2"
67.222.198.66 - - [20/Feb/2011:10:58:27 -0600] "GET /~rbeasley/a5/otherpage.html HTTP/1.1" 200 1370 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13 SearchToolbar/1.2"
97.119.44.200 - - [20/Feb/2011:13:13:40 -0600] "GET /1300-2-css/112.html HTTP/1.1" 200 287 "http://blizzard.ist.unomaha.edu/1300-2-css/" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
68.13.72.2 - - [20/Feb/2011:14:00:15 -0600] "GET /favicon.ico HTTP/1.1" 404 247 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.98 Safari/534.13"
68.13.183.34 - - [20/Feb/2011:14:22:58 -0600] "GET /~dpinkerton/a4/otherpage.html HTTP/1.1" 200 1391 "http://blizzard.ist.unomaha.edu/~dpinkerton/a5/" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13 ( .NET CLR 3.5.30729; .NET4.0C)"
98.179.8.48 - - [20/Feb/2011:14:35:38 -0600] "GET /~fackermann/a5/images/FredPic.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
68.13.72.2 - - [20/Feb/2011:14:47:26 -0600] "GET /favicon.ico HTTP/1.1" 404 247 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.98 Safari/534.13"
98.179.8.48 - - [20/Feb/2011:14:59:39 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:15:10:21 -0600] "GET /~fackermann/a5/index.html HTTP/1.1" 200 1059 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
76.84.159.217 - - [20/Feb/2011:15:14:05 -0600] "GET /~dtwilliams/a5/index.html HTTP/1.1" 200 1772 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/otherpage.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
98.179.8.48 - - [20/Feb/2011:15:18:57 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:15:23:38 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
76.84.160.6 - - [20/Feb/2011:15:31:40 -0600] "GET /images/images/bg_body.jpg HTTP/1.1" 404 250 "http://squishy.unomaha.edu/1300-1-xhtml/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDC; InfoPath.2; .NET4.0C; BRI/1; BO1IE8_v1;ENUS)"
98.179.8.48 - - [20/Feb/2011:15:39:43 -0600] "GET /~fackermann/a5/images/FredPic.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
76.84.159.217 - - [20/Feb/2011:15:43:06 -0600] "GET /~dtwilliams/a5/otherpage.html HTTP/1.1" 200 1482 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
98.168.193.160 - - [20/Feb/2011:15:49:32 -0600] "GET /~jrauscher/a7/images/Tball.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~jrauscher/a7/" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
98.168.193.160 - - [20/Feb/2011:15:58:32 -0600] "GET /~jrauscher/a7/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~jrauscher/a7/" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.7.62 Version/11.01"
76.84.159.217 - - [20/Feb/2011:16:00:50 -0600] "GET /~dtwilliams/a5/otherpage.html HTTP/1.1" 200 1485 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
76.84.159.217 - - [20/Feb/2011:16:10:10 -0600] "GET /~dtwilliams/a5/otherpage.html HTTP/1.1" 200 1486 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
76.84.159.217 - - [20/Feb/2011:16:16:42 -0600] "GET /~dtwilliams/a5/my.css HTTP/1.1" 200 1988 "http://blizzard.ist.unomaha.edu/~dtwilliams/a5/otherpage.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13"
98.179.8.48 - - [20/Feb/2011:16:23:14 -0600] "GET /~fackermann/a5/images/FredPic.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:16:34:35 -0600] "GET /~fackermann/a5/my.css HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/otherpage.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
98.179.8.48 - - [20/Feb/2011:16:56:24 -0600] "GET /~fackermann/a5/images/FredPic.jpg HTTP/1.1" 304 - "http://blizzard.ist.unomaha.edu/~fackermann/a5/index.html" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
